Date,Open,High,Low,Close,Volume
2016-01-20,127833.72,128291.91,124168.24,125084.61,544330
2016-01-21,124626.41,126459.15,124168.23,125542.78,455723
2016-01-22,126459.17,128750.1,125084.61,127375.54,551671
2016-01-25,128291.9,128750.09,124626.42,126000.98,543064
2016-01-26,125084.61,125542.79,123251.87,124626.42,564584
2016-01-27,124168.23,125542.78,123251.85,125542.78,702981
2016-01-28,124168.24,125084.61,123251.87,123710.05,480730
2016-01-29,123710.04,124626.41,120044.56,121877.3,990382
2016-02-01,120960.92,121419.11,119586.37,121419.11,689972
2016-02-02,120502.76,121419.13,118211.83,118670.02,594441
2016-02-03,116837.27,118670.01,115920.9,118211.83,649021
2016-02-04,119128.18,121419.11,118670.0,121419.11,600523
2016-02-05,120960.94,122335.5,120044.57,122335.5,513150
2016-02-11,119586.38,121419.12,119586.38,120044.56,688873
2016-02-12,120502.74,126000.97,120044.56,125542.78,1264899
2016-02-15,126000.98,129666.46,123710.05,127833.72,879160
2016-02-16,127833.71,130582.82,126000.97,129208.27,524822
2016-02-17,130124.65,135164.69,129208.28,134706.5,772996
2016-02-18,135164.69,136539.24,133331.94,134706.5,468798
2016-02-19,134706.51,138371.99,134706.51,136539.25,477553
2016-02-22,135164.69,136081.06,133790.13,135164.69,273335
2016-02-23,135622.88,136539.25,134248.32,136539.25,250401
2016-02-24,135164.69,137455.62,134248.32,136539.25,191286
2016-02-25,136997.43,140204.72,133331.94,134706.5,490265
2016-02-26,135622.87,135622.87,132415.57,134706.5,351408
2016-02-29,133331.95,136539.24,132415.58,135164.69,570117
2016-03-02,137455.61,137455.61,135622.87,137455.61,539821
2016-03-03,138830.17,138830.17,133790.13,135164.69,627810
2016-03-04,133790.13,135164.69,131499.2,135164.69,696287
2016-03-07,135164.7,135164.7,133331.96,134248.33,317439
2016-03-08,132873.73,136997.4,132873.73,135622.84,366489
2016-03-09,134706.48,136997.41,134248.29,136997.41,452965
2016-03-10,136539.21,137455.58,135622.84,135622.84,690061
2016-03-11,135164.69,137455.62,135164.69,136539.25,408175
2016-03-14,137455.6,137913.79,134706.49,136081.05,362075
2016-03-15,136081.06,136539.24,133790.13,134706.5,309077
2016-03-16,134706.51,135622.88,133331.96,134248.33,206136
2016-03-17,135622.88,136081.07,133790.14,134248.33,492380
2016-03-18,135622.87,137913.8,135164.68,137913.8,769047
2016-03-21,138371.98,142037.47,136997.43,141579.28,803657
2016-03-22,142495.67,145702.97,142037.49,145702.97,872121
2016-03-23,146161.13,146161.13,143870.21,144786.58,454762
2016-03-24,143412.03,143870.21,141579.29,142495.66,288522
2016-03-25,141579.29,142495.66,139288.36,140204.73,279961
2016-03-28,140204.72,143412.02,139288.35,141121.09,186865
2016-03-29,142037.45,142953.82,140662.9,142037.45,229075
2016-03-30,142953.84,145702.95,142037.47,142495.66,373060
2016-03-31,142953.84,142953.84,138830.18,139746.55,575626
2016-04-01,139746.52,139746.52,135164.67,136997.41,604435
2016-04-04,136081.06,136997.43,131499.21,131957.39,767267
2016-04-05,131957.39,132873.76,131499.21,132415.58,292339
2016-04-06,131957.39,133790.13,131957.39,131957.39,379789
2016-04-07,131499.22,134248.33,131499.22,134248.33,366852
2016-04-08,133790.12,134248.31,131957.38,133790.12,339546
2016-04-11,135164.68,135164.68,132873.75,133790.12,197423
2016-04-12,133790.12,137455.6,132873.75,136081.05,361212
2016-04-14,137455.62,139288.36,136997.43,139288.36,496852
2016-04-15,137913.79,139288.34,136539.23,138830.16,297722
2016-04-18,137455.61,142037.46,137455.61,141121.09,406339
2016-04-19,142037.48,142037.48,139288.36,140204.73,310407
2016-04-20,140662.9,142037.45,138371.97,138830.16,270230
2016-04-21,139288.35,141579.28,139288.35,141121.09,297646
2016-04-22,139288.34,140662.9,137913.78,138371.97,318972
2016-04-25,138371.96,139288.33,136539.22,136997.41,273343
2016-04-26,136539.25,141121.11,136539.25,140662.92,365930
2016-04-27,139288.36,140204.73,136081.06,136539.25,374037
2016-04-28,136081.03,137913.77,134706.47,135622.84,466520
2016-04-29,134248.33,135164.7,130124.66,131499.22,739237
2016-05-02,130124.65,131957.39,129666.47,130582.84,242036
2016-05-03,131041.02,131957.39,130124.65,130582.84,359029
2016-05-04,129666.47,130124.65,126917.35,127375.54,807340
2016-05-09,126917.34,127375.52,124168.23,124168.23,482711
2016-05-10,125084.61,128750.09,125084.61,127833.72,346710
2016-05-11,128750.1,130124.65,126917.35,127375.54,284228
2016-05-12,126459.17,126917.35,125084.61,125084.61,421047
2016-05-13,124626.43,126000.98,123710.05,123710.05,529746
2016-05-16,125084.6,126000.97,123710.04,124168.23,397771
2016-05-17,124168.24,125084.61,123251.87,123251.87,314839
2016-05-18,123710.04,124168.22,120960.93,121877.3,630692
2016-05-19,121419.13,124626.42,121419.13,123251.87,389055
2016-05-20,122793.68,123710.05,120502.75,120960.94,462176
2016-05-23,121877.3,123251.85,121877.3,121877.3,310458
2016-05-24,121877.31,123710.06,120960.94,122335.5,355717
2016-05-25,123251.87,125542.8,122793.68,123710.05,500528
2016-05-26,124626.43,125542.8,123251.87,123710.05,342299
2016-05-27,124626.42,125084.61,123710.05,124626.42,346406
2016-05-30,124626.42,126000.98,123710.05,125084.61,474129
2016-05-31,125084.61,127833.72,123710.05,127833.72,1734508
2016-06-01,126000.97,126917.34,125084.6,126459.16,507997
2016-06-02,126917.34,127375.53,125084.6,126459.16,419054
2016-06-03,126459.15,127833.71,126000.97,126917.34,352778
2016-06-07,126917.35,127833.72,126000.98,127833.72,608452
2016-06-08,126917.35,129666.46,126917.35,127833.72,598656
2016-06-09,127833.72,128750.1,126000.98,127375.54,578177
2016-06-10,126917.35,128291.91,126459.17,127375.54,350588
