,회사명,종목코드
449,신세계I&C,35510
450,신세계건설,34300
451,신영와코루,5800
452,신영증권,1720
453,신원,9270
454,신풍제지,2870
455,아주캐피탈,33660
456,에스엘,5850
457,에이프로젠 KIC,7460
458,엘브이엠씨,900140
459,엘에스일렉트릭,10120
460,오리온,271560
461,우리금융지주,316140
462,우성사료,6980
463,웰바이오텍,10600
464,유니온,910
465,유안타증권,3470
466,일진머티리얼즈,20150
467,일진전기,103590
468,조광피혁,4700
469,조일알미늄,18470
470,진흥기업,2780
471,카카오,35720
472,케이씨티시,9070
473,케이티,30200
474,코리안리,3690
475,코스맥스비티아이,44820
476,크라운제과,264900
477,크라운해태홀딩스,5740
478,태림포장,11280
479,태원물산,1420
480,티에이치엔,19180
481,팬오션,28670
482,평화산업,90080
483,하나투어,39130
484,하이골드12호,172580
485,한국프랜지공업,10100
486,한독,2390
487,한세엠케이,69640
488,한솔제지,213500
489,한솔케미칼,14680
490,한솔테크닉스,4710
491,한온시스템,18880
492,한진,2320
493,해성디에스,195870
494,현대리바트,79430
495,현대해상,1450
496,혜인,3010
497,화성산업,2460
498,휴비스,79980
499,CS홀딩스,590
500,DB,12030
501,DB손해보험,5830
502,GS리테일,7070
503,HDC,12630
504,JW생명과학,234080
505,KC그린홀딩스,9440
506,KR모터스,40
507,LG유플러스,32640
508,SPC삼립,5610
509,경농,2100
510,경동도시가스,267290
511,경방,50
512,광동제약,9290
513,광주신세계,37710
514,국도화학,7690
515,금비,8870
516,금호타이어,73240
517,남영비비안,2070
518,대림산업,210
519,대림통상,6570
520,대신증권,3540
521,대웅,3090
522,대원강업,430
523,대원전선,6340
524,대원화성,24890
525,대유에이텍,2880
526,더블유게임즈,192080
527,동부건설,5960
528,동성제약,2210
529,동양고속,84670
530,동양철관,8970
531,동원수산,30720
532,롯데쇼핑,23530
533,롯데지주,4990
534,메리츠화재,60
535,미원에스씨,268280
536,부산산업,11390
537,삼광글라스,5090
538,삼성엔지니어링,28050
539,삼익악기,2450
540,삼천리,4690
541,서울식품공업,4410
542,성창기업지주,180
543,세종공업,33530
544,시디즈,134790
545,신도리코,29530
546,씨아이테크,4920
547,아모레퍼시픽그룹,2790
548,아시아나IDT,267850
549,아시아나항공,20560
550,알루코,1780
551,에스제이엠홀딩스,25530
552,엔에스쇼핑,138250
553,오뚜기,7310
554,유성기업,2920
555,유양디앤유,11690
556,이리츠코크렙,88260
557,이수페타시스,7660
558,이아이디,93230
559,인디에프,14990
560,인터지스,129260
561,일동홀딩스,230
562,일진홀딩스,15860
563,자이에스앤디,317400
564,자화전자,33240
565,전방,950
566,제이준코스메틱,25620
567,제이콘텐트리,36420
568,제일기획,30000
569,지투알,35000
570,진양폴리우레탄,10640
571,콤텍시스템,31820
