,회사명,종목코드
526,퍼시스,16800
527,한국공항,5430
528,한국금융지주,71050
529,한국무브넥스,10100
530,한국토지신탁,34830
531,한국항공우주,47810
532,한독,2390
533,한솔제지,213500
534,한솔케미칼,14680
535,한일현대시멘트,6390
536,한전기술,52690
537,한진,2320
538,한화시스템,272210
539,한화오션,42660
540,해성디에스,195870
541,현대리바트,79430
542,현대미포조선,10620
543,현대엘리베이터,17800
544,현대지에프홀딩스,5440
545,형지엘리트,93240
546,혜인,3010
547,화승엔터프라이즈,241590
548,휠라홀딩스,81660
549,BGF,27410
550,DB,12030
551,HDC현대산업개발,294870
552,HD현대인프라코어,42670
553,JW생명과학,234080
554,KB금융,105560
555,KC그린홀딩스,9440
556,KTcs,58850
557,LG유플러스,32640
558,LG전자,66570
559,LS네트웍스,680
560,LS에코에너지,229640
561,NICE,34310
562,NI스틸,8260
563,S-Oil,10950
564,SG글로벌,1380
565,SIMPAC,9160
566,SK아이이테크놀로지,361610
567,SNT에너지,100840
568,SNT홀딩스,36530
569,SPC삼립,5610
570,TCC스틸,2710
571,경동도시가스,267290
572,경방,50
573,고려제강,2240
574,광동제약,9290
575,광전자,17900
576,광주신세계,37710
577,금비,8870
578,금호석유화학,11780
579,대신증권,3540
580,대영포장,14160
581,대원전선,6340
582,대원화성,24890
583,대유에이텍,2880
584,대한화섬,3830
585,덕성,4830
586,동방,4140
587,동성제약,2210
588,동아타이어,282690
589,동양고속,84670
590,동인기연,111380
591,두산,150
592,두산에너빌리티,34020
593,롯데렌탈,89860
594,롯데하이마트,71840
595,미원상사,2840
596,미원에스씨,268280
597,비에이치,90460
598,사조오양,6090
599,삼성에스디에스,18260
600,삼양사,145990
601,삼원강재,23000
602,삼익악기,2450
603,삼천리,4690
604,상상인증권,1290
605,서울식품공업,4410
606,성창기업지주,180
607,세아제강,306200
608,세아제강지주,3030
609,신세계,4170
610,아세아,2030
611,애경산업,18250
612,에스제이엠홀딩스,25530
613,에이프로젠,7460
614,영원무역홀딩스,9970
615,영진약품,3520
616,영풍,670
617,오리온,271560
618,우리금융지주,316140
619,유성기업,2920
620,일진홀딩스,15860
621,자이에스앤디,317400
622,제이알글로벌리츠,348950
623,조선내화,462520
624,종근당,185750
625,케이탑리츠,145270
626,코스모화학,5420
627,코오롱인더,120110
628,팜젠사이언스,4720
629,팬오션,28670
630,하나제약,293480
631,한국화장품,123690
632,한국화장품제조,3350
633,한솔홈데코,25750
634,한진칼,180640
635,한컴라이프케어,372910
636,한화손해보험,370
637,한화에어로스페이스,12450
638,화천기계,10660
639,효성티앤씨,298020
640,후성,93370
641,휴스틸,5010
642,DB금융투자,16610
643,DL이앤씨,375500
644,HDC현대EP,89470
645,HD현대중공업,329180
646,HLB글로벌,3580
647,HSD엔진,82740
648,KR모터스,40
649,LF,93050
650,LG생활건강,51900
651,LS,6260
652,LX하우시스,108670
653,POSCO홀딩스,5490
654,SG세계물산,4060
655,SK,34730
656,TYM,2900
657,고려산업,2140
658,고려아연,10130
659,국제약품,2720
660,금양,1570
661,남광토건,1260
662,남성,4270
663,넥센,5720
664,농심홀딩스,72710
665,다올투자증권,30210
666,다우기술,23590
667,대교,19680
668,대한제분,1130
669,동남합성,23450
670,동양피스톤,92780
671,동일제강,2690
672,디와이파워,210540
673,락앤락,115390
674,롯데리츠,330590
675,롯데에너지머티리얼즈,20150
676,롯데정보통신,286940
677,만호제강,1080
678,무림P&P,9580
679,미래에셋맵스리츠,357250
680,미원홀딩스,107590
681,방림,3610
682,부광약품,3000
683,사조동아원,8040
684,삼성전자,5930
685,삼양통상,2170
686,삼영전자공업,5680
687,삼진제약,5500
688,삼화전자공업,11230
689,새론오토모티브,75180
690,성문전자,14910
691,세아홀딩스,58650
692,솔루스첨단소재,336370
693,솔루엠,248070
694,수산중공업,17550
695,스틱인베스트먼트,26890
696,신세계I&C,35510
697,알루코,1780
698,에쓰씨엔지니어링,23960
699,에이엔피,15260
700,엘에스일렉트릭,10120
701,엠씨넥스,97520
702,오리엔트바이오,2630
703,오리온홀딩스,1800
704,와이투솔루션,11690
705,웅진,16880
706,원림,5820
707,유니드비티플러스,446070
708,유니퀘스트,77500
709,이지스밸류플러스리츠,334890
710,일동제약,249420
711,일신석재,7110
712,주연테크,44380
713,진양폴리우레탄,10640
714,케이티,30200
715,태경비케이,14580
716,티웨이홀딩스,4870
717,파미셀,5690
718,풀무원,17810
719,프레스티지바이오파마,950210
720,하이트진로홀딩스,140
721,한국단자공업,25540
722,한국카본,17960
723,한농화성,11500
724,한샘,9240
725,한섬,20000
726,한세엠케이,69640
727,한전KPS,51600
728,한전산업,130660
729,현대약품,4310
730,현대해상,1450
731,화성산업,2460
732,휴비스,79980
733,BYC,1460
734,DRB동일,4840
735,GKL,114090
736,GS,78930
737,GS글로벌,1250
738,HDC랩스,39570
739,HD현대건설기계,267270
740,HL D&I,14790
741,HL만도,204320
742,HS애드,35000
743,JB금융지주,175330
744,KB스타리츠,432320
745,KC코트렐,119650
746,KEC,92220
747,KSS해운,44450
748,LG,3550
749,NAVER,35420
750,NH프라임리츠,338100
751,NICE평가정보,30190
752,OCI,456040
753,PI첨단소재,178920
754,SGC에너지,5090
755,SHD,1770
756,STX엔진,77970
757,가온전선,500
758,강남제비스코,860
